GEOMETRY v06: 29976 meshes; SHA256(names/world vertices at1micrometre)=523cd725f671151f70fb591add45a53875bbd80cb619a85760088230495d1416; loaded C:\Users\lukap\Documents\GitHub\craftbot\experiments\17_Arrhenius_Laboratories\Astra\preflight_v06.blend
NOMINAL0.35x0.40m CORBEL END SEATS: 876 expected geometric cases; 10 exceptions. Both corbel-top and actual beam-underside union must cover0.140m2. Exceptions require local structural review; do not infer unsupported loads from missing beams alone.
('Column_81', 1, -1, 0.12250000000000227, 0.0, False)
('Column_81', 1, 1, 0.12250000000000227, 0.0, False)
('Column_81', 2, -1, 0.1400000000000432, 0.11374993324284333, False)
('Column_81', 2, 1, 0.13999999999992951, 0.11374993324278648, False)
('Column_81', 3, -1, 0.1400000000000432, 0.11374993324284333, False)
('Column_81', 3, 1, 0.13999999999992951, 0.11374993324278648, False)
('Column_81', 4, -1, 0.1400000000000432, 0.11374993324284333, False)
('Column_81', 4, 1, 0.13999999999992951, 0.11374993324278648, False)
('Column_81', 5, -1, 0.1400000000000432, 0.11374993324284333, False)
('Column_81', 5, 1, 0.13999999999992951, 0.11374993324278648, False)
Designer classification: 866 ordinary0.35x0.40m seats; 8 reduced0.35x0.325m seats (18.75% width/area reduction; capacity unverified); 2 first-raised cases use core-ledges checked below. No blanket876-case capacity/pass claim.

LOCAL CORE/LINK CONNECTION FACES: required horizontal seat areas and actual below/above mesh coverage; ledger attachment requires inferred anchors, not gravity-only bearing.
('Core beam alternate seat W', 0.07999999999998408, 0.0799999809264591, 0.07999967575091205, True)
('Core beam alternate seat E', 0.07999999999998408, 0.07999998092651595, 0.07999998092651595, True)
('Link deck level0 W0.15m seat via InsertLinkLedger_W_0', 0.3000000000001819, 0.3000000000001819, 0.3000000000001819, True)
('Link ledger level0 W0.20m attachment', 0.3999999999998636, 0.3999992370604559, 0.3999984741210483, True)
('Link deck level0 E0.15m seat via InsertLinkLedger_E_0', 0.3000000000001819, 0.3000000000001819, 0.3000000000001819, True)
('Link ledger level0 E0.20m attachment', 0.3999999999998636, 0.3999992370604559, 0.3999984741210483, True)
('Link deck level1 W0.15m seat via InsertLinkLedger_W_1', 0.3000000000001819, 0.3000000000001819, 0.3000000000001819, True)
